model_id,model_name,question_id,subject,type,baseline_correct_count,agentic_correct_count,baseline_majority_correct,agentic_majority_correct,transition_code,transition_term,baseline_majority_rate,difficulty_bin
claude-opus-4.5,Claude Opus 4.5,30,Pathology,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,31,Pathology,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,32,Pathology,A,0,5,False,True,0->1,Effective Rescue,0.7272727272727273,Easy (60-80%)
claude-opus-4.5,Claude Opus 4.5,33,Pathology,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,34,Pathology,A,2,0,False,False,0->0,Refractory Error,0.36363636363636365,Hard (20-40%)
claude-opus-4.5,Claude Opus 4.5,35,Pathology,A,0,0,False,False,0->0,Refractory Error,0.0,Very hard (<20%)
claude-opus-4.5,Claude Opus 4.5,36,Pathology,A,5,5,True,True,1->1,Retained Mastery,0.9090909090909091,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,37,Pathology,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,38,Pathology,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,39,Pathology,A,0,0,False,False,0->0,Refractory Error,0.0,Very hard (<20%)
claude-opus-4.5,Claude Opus 4.5,40,Pathology,A,0,0,False,False,0->0,Refractory Error,0.2727272727272727,Hard (20-40%)
claude-opus-4.5,Claude Opus 4.5,41,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,42,Internal Medicine,A,0,0,False,False,0->0,Refractory Error,0.0,Very hard (<20%)
claude-opus-4.5,Claude Opus 4.5,43,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,44,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,45,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,46,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,47,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,48,Internal Medicine,A,5,4,True,True,1->1,Retained Mastery,0.36363636363636365,Hard (20-40%)
claude-opus-4.5,Claude Opus 4.5,49,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,50,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,51,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,52,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,53,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,54,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,55,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,0.6363636363636364,Easy (60-80%)
claude-opus-4.5,Claude Opus 4.5,56,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,57,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,58,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,59,Surgery,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,60,Surgery,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,61,Surgery,A,5,3,True,True,1->1,Retained Mastery,0.8181818181818182,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,62,Surgery,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,63,Surgery,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,64,Surgery,A,5,2,True,False,1->0,Iatrogenic Error,0.5454545454545454,Medium (40-60%)
claude-opus-4.5,Claude Opus 4.5,65,Surgery,A,0,0,False,False,0->0,Refractory Error,0.09090909090909091,Very hard (<20%)
claude-opus-4.5,Claude Opus 4.5,66,Surgery,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,67,Surgery,A,5,5,True,True,1->1,Retained Mastery,0.9090909090909091,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,68,Internal Medicine,A,0,3,False,True,0->1,Effective Rescue,0.36363636363636365,Hard (20-40%)
claude-opus-4.5,Claude Opus 4.5,69,Internal Medicine,A,0,0,False,False,0->0,Refractory Error,0.18181818181818182,Very hard (<20%)
claude-opus-4.5,Claude Opus 4.5,70,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,71,Internal Medicine,A,0,3,False,True,0->1,Effective Rescue,0.18181818181818182,Very hard (<20%)
claude-opus-4.5,Claude Opus 4.5,72,Internal Medicine,A,5,3,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,73,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,0.8181818181818182,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,74,Internal Medicine,A,0,2,False,False,0->0,Refractory Error,0.36363636363636365,Hard (20-40%)
claude-opus-4.5,Claude Opus 4.5,75,Internal Medicine,A,0,0,False,False,0->0,Refractory Error,0.36363636363636365,Hard (20-40%)
claude-opus-4.5,Claude Opus 4.5,76,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,77,Internal Medicine,A,5,0,True,False,1->0,Iatrogenic Error,0.6363636363636364,Easy (60-80%)
claude-opus-4.5,Claude Opus 4.5,78,Internal Medicine,A,0,1,False,False,0->0,Refractory Error,0.09090909090909091,Very hard (<20%)
claude-opus-4.5,Claude Opus 4.5,79,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,80,Internal Medicine,A,2,2,False,False,0->0,Refractory Error,0.18181818181818182,Very hard (<20%)
claude-opus-4.5,Claude Opus 4.5,81,Internal Medicine,A,0,0,False,False,0->0,Refractory Error,0.36363636363636365,Hard (20-40%)
claude-opus-4.5,Claude Opus 4.5,82,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,83,Internal Medicine,A,0,1,False,False,0->0,Refractory Error,0.18181818181818182,Very hard (<20%)
claude-opus-4.5,Claude Opus 4.5,84,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,85,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,86,Internal Medicine,A,5,1,True,False,1->0,Iatrogenic Error,0.5454545454545454,Medium (40-60%)
claude-opus-4.5,Claude Opus 4.5,87,Internal Medicine,A,0,5,False,True,0->1,Effective Rescue,0.7272727272727273,Easy (60-80%)
claude-opus-4.5,Claude Opus 4.5,88,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,89,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,90,Internal Medicine,A,3,5,True,True,1->1,Retained Mastery,0.6363636363636364,Easy (60-80%)
claude-opus-4.5,Claude Opus 4.5,91,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,92,Internal Medicine,A,5,5,True,True,1->1,Retained Mastery,0.9090909090909091,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,93,Surgery,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,94,Surgery,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,95,Surgery,A,5,5,True,True,1->1,Retained Mastery,0.7272727272727273,Easy (60-80%)
claude-opus-4.5,Claude Opus 4.5,96,Surgery,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,97,Surgery,A,0,0,False,False,0->0,Refractory Error,0.36363636363636365,Hard (20-40%)
claude-opus-4.5,Claude Opus 4.5,98,Surgery,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,99,Surgery,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,100,Surgery,A,5,5,True,True,1->1,Retained Mastery,0.9090909090909091,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,101,Surgery,A,5,5,True,True,1->1,Retained Mastery,0.8181818181818182,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,102,Surgery,A,5,5,True,True,1->1,Retained Mastery,0.45454545454545453,Medium (40-60%)
claude-opus-4.5,Claude Opus 4.5,103,Surgery,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,104,Surgery,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,105,Surgery,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,106,Surgery,A,5,5,True,True,1->1,Retained Mastery,0.9090909090909091,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,107,Surgery,A,5,5,True,True,1->1,Retained Mastery,0.2727272727272727,Hard (20-40%)
claude-opus-4.5,Claude Opus 4.5,108,Ethics/Reg,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,109,Ethics/Reg,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,110,Ethics/Reg,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,111,Ethics/Reg,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,112,Ethics/Reg,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,113,Ethics/Reg,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,114,Ethics/Reg,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,115,Ethics/Reg,A,0,5,False,True,0->1,Effective Rescue,0.5454545454545454,Medium (40-60%)
claude-opus-4.5,Claude Opus 4.5,116,Physiology/Biochem,B,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,117,Physiology/Biochem,B,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,118,Physiology/Biochem,B,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,119,Physiology/Biochem,B,0,5,False,True,0->1,Effective Rescue,0.9090909090909091,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,120,Physiology/Biochem,B,5,5,True,True,1->1,Retained Mastery,0.7272727272727273,Easy (60-80%)
claude-opus-4.5,Claude Opus 4.5,121,Physiology/Biochem,B,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,122,Physiology/Biochem,B,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,123,Physiology/Biochem,B,5,2,True,False,1->0,Iatrogenic Error,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,124,Pathology,B,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,125,Pathology,B,5,5,True,True,1->1,Retained Mastery,0.9090909090909091,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,126,Pathology,B,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,127,Pathology,B,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,128,Pathology,B,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,129,Pathology,B,5,5,True,True,1->1,Retained Mastery,0.9090909090909091,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,130,Internal Medicine,B,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,131,Internal Medicine,B,0,5,False,True,0->1,Effective Rescue,0.36363636363636365,Hard (20-40%)
claude-opus-4.5,Claude Opus 4.5,132,Surgery,B,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,133,Surgery,B,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,134,Surgery,B,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,135,Surgery,B,5,5,True,True,1->1,Retained Mastery,0.6363636363636364,Easy (60-80%)
claude-opus-4.5,Claude Opus 4.5,136,Physiology/Biochem,X,5,5,True,True,1->1,Retained Mastery,0.9090909090909091,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,137,Physiology/Biochem,X,0,0,False,False,0->0,Refractory Error,0.0,Very hard (<20%)
claude-opus-4.5,Claude Opus 4.5,138,Physiology/Biochem,X,5,5,True,True,1->1,Retained Mastery,0.45454545454545453,Medium (40-60%)
claude-opus-4.5,Claude Opus 4.5,139,Physiology/Biochem,X,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,140,Physiology/Biochem,X,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,141,Physiology/Biochem,X,5,5,True,True,1->1,Retained Mastery,0.8181818181818182,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,142,Physiology/Biochem,X,5,5,True,True,1->1,Retained Mastery,0.9090909090909091,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,143,Physiology/Biochem,X,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,144,Physiology/Biochem,X,0,5,False,True,0->1,Effective Rescue,0.6363636363636364,Easy (60-80%)
claude-opus-4.5,Claude Opus 4.5,145,Physiology/Biochem,X,5,4,True,True,1->1,Retained Mastery,0.7272727272727273,Easy (60-80%)
claude-opus-4.5,Claude Opus 4.5,146,Pathology,X,0,2,False,False,0->0,Refractory Error,0.09090909090909091,Very hard (<20%)
claude-opus-4.5,Claude Opus 4.5,147,Pathology,X,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,148,Pathology,X,5,5,True,True,1->1,Retained Mastery,0.9090909090909091,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,149,Pathology,X,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,150,Pathology,X,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,151,Pathology,X,0,2,False,False,0->0,Refractory Error,0.7272727272727273,Easy (60-80%)
claude-opus-4.5,Claude Opus 4.5,152,Pathology,X,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,153,Pathology,X,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,154,Internal Medicine,X,5,5,True,True,1->1,Retained Mastery,0.9090909090909091,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,155,Internal Medicine,X,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,156,Internal Medicine,X,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,157,Internal Medicine,X,0,1,False,False,0->0,Refractory Error,0.9090909090909091,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,158,Internal Medicine,X,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,159,Internal Medicine,X,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,160,Surgery,X,5,5,True,True,1->1,Retained Mastery,0.9090909090909091,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,161,Surgery,X,5,5,True,True,1->1,Retained Mastery,0.9090909090909091,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,162,Surgery,X,0,1,False,False,0->0,Refractory Error,0.8181818181818182,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,163,Surgery,X,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,164,Surgery,X,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,165,Surgery,X,0,0,False,False,0->0,Refractory Error,0.6363636363636364,Easy (60-80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,1,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,2,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,3,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,4,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,5,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,6,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,7,Physiology/Biochem,A,0,0,False,False,0->0,Refractory Error,0.0,Very hard (<20%)
deepseek-v3.2,DeepSeek V3.2 Thinking,8,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,9,Physiology/Biochem,A,0,0,False,False,0->0,Refractory Error,0.0,Very hard (<20%)
deepseek-v3.2,DeepSeek V3.2 Thinking,10,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,11,Physiology/Biochem,A,4,3,True,True,1->1,Retained Mastery,0.7272727272727273,Easy (60-80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,12,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,13,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,14,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,15,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,0.7272727272727273,Easy (60-80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,16,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,17,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,18,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,19,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,20,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,0.8181818181818182,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,21,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,0.9090909090909091,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,22,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,23,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,24,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,25,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,26,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,27,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,28,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,29,Pathology,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,30,Pathology,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,31,Pathology,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
deepseek-v3.2,DeepSeek V3.2 Thinking,32,Pathology,A,5,5,True,True,1->1,Retained Mastery,0.7272727272727273,Easy (60-80%)
